time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:56:02:167,0,44,763,992,32,24,164,26,1,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857581,-1.1,-2.3,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:02:267,0,43,763,993,32,24,157,26,3,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857581,-0.9,-2.8,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:02:367,0,40,763,991,32,24,151,26,4,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988382,45.3857582,-1.1,-3.1,-8.3,-0.7,-2.2,-5.7,8,8,
2026-03-10_00:56:02:467,0,43,763,992,32,24,154,26,1,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988392,45.3857581,-1.3,-3.0,-8.2,-0.8,-2.1,-5.8,8,8,
2026-03-10_00:56:02:567,0,41,763,993,32,24,164,26,2,0,19,0,2,-75.6987826,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857581,-1.2,-2.5,-8.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:02:667,0,40,763,994,32,24,164,26,0,0,19,0,2,-75.6987826,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988403,45.3857581,-0.8,-2.2,-8.2,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:02:767,0,40,763,991,32,24,146,26,3,0,19,0,2,-75.6987826,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988405,45.3857590,-0.5,-2.0,-8.2,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:02:867,0,41,763,992,32,24,151,26,5,0,19,0,2,-75.6987826,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988395,45.3857590,-0.7,-2.2,-8.2,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:02:967,0,41,763,992,32,24,151,26,5,0,19,0,2,-75.6987827,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988395,45.3857590,-1.1,-2.5,-8.2,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:03:067,0,39,764,993,32,24,160,26,1,0,19,0,2,-75.6987827,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988405,45.3857590,-1.3,-2.7,-8.2,-0.7,-2.2,-5.9,8,8,
